ddodyear,censuscode,deathcount
2017,8990,2
2017,9070,3
2017,9160,16
2017,9170,6
2017,9180,1
2017,9190,1
2017,9290,7
2017,9370,3
2017,9380,3
2017,9390,25
2017,9470,14
2017,9480,10
2017,9490,1
2017,9570,3
2017,9590,3
2018,0170,10
2018,0180,7
2018,0190,4
2018,0270,4
2018,0280,1
2018,0290,2
2018,0370,2
2018,0390,1
2018,0490,3
2018,0570,7
2018,0580,1
2018,0590,1
2018,0670,1
2018,0680,1
2018,0690,5
2018,0770,86
2018,1070,1
2018,1080,2
2018,1090,1
2018,1170,1
2018,1180,2
2018,1190,2
2018,1270,3
2018,1290,9
2018,1480,4
2018,1590,2
2018,1691,4
2018,1870,7
2018,1990,9
2018,2190,1
2018,2270,1
2018,2290,5
2018,2380,2
2018,2470,1
2018,2490,3
2018,2590,1
2018,2670,3
2018,2680,3
2018,2770,2
2018,2790,2
2018,2870,4
2018,2890,1
2018,2990,3
2018,3080,1
2018,3170,1
2018,3291,1
2018,3365,2
2018,3380,1
2018,3390,8
2018,3490,1
2018,3570,7
2018,3580,4
2018,3590,3
2018,3670,1
2018,3680,5
2018,3770,4
2018,3780,1
2018,3790,1
2018,3875,1
2018,3895,5
2018,3960,2
2018,3990,32
2018,4170,1
2018,4270,5
2018,4280,2
2018,4290,1
2018,4380,1
2018,4470,8
2018,4580,1
2018,4590,2
2018,4670,8
2018,4680,1
2018,4690,4
2018,4770,6
2018,4795,4
2018,4870,7
2018,4880,1
2018,4890,2
2018,4971,19
2018,4980,2
2018,5070,4
2018,5080,3
2018,5090,1
2018,5170,5
2018,5190,2
2018,5275,2
2018,5280,1
2018,5370,2
2018,5381,4
2018,5470,2
2018,5490,1
2018,5570,1
2018,5580,2
2018,5593,1
2018,5670,1
2018,5680,1
2018,5690,2
2018,5790,37
2018,6070,6
2018,6080,6
2018,6090,5
2018,6170,31
2018,6180,9
2018,6190,4
2018,6280,1
2018,6290,17
2018,6370,13
2018,6380,1
2018,6390,3
2018,6470,5
2018,6480,2
2018,6570,3
2018,6670,3
2018,6680,14
2018,6690,3
2018,6770,2
2018,6780,1
2018,6870,19
2018,6890,2
2018,6970,5
2018,6991,10
2018,6992,10
2018,7071,19
2018,7072,2
2018,7080,1
2018,7270,16
2018,7280,15
2018,7290,9
2018,7370,5
2018,7380,13
2018,7460,4
2018,7470,1
2018,7480,2
2018,7490,2
2018,7570,3
2018,7580,1
2018,7590,2
2018,7670,4
2018,7680,9
2018,7690,12
2018,7770,9
2018,7780,1
2018,7790,5
2018,7860,96
2018,7870,24
2018,7880,1
2018,7890,1
2018,7970,12
2018,7980,4
2018,8070,3
2018,8080,4
2018,8090,8
2018,8170,11
2018,8180,4
2018,8191,66
2018,8270,15
2018,8290,1
2018,8370,10
2018,8390,1
2018,8470,5
2018,8561,1
2018,8562,3
2018,8563,2
2018,8564,17
2018,8570,1
2018,8580,1
2018,8590,3
2018,8660,3
2018,8680,58
2018,8690,5
2018,8770,13
2018,8790,2
2018,8870,3
2018,8891,9
2018,8970,2
2018,8980,10
2018,9070,5
2018,9080,2
2018,9090,1
2018,9160,11
2018,9170,4
2018,9180,2
2018,9190,2
2018,9290,3
2018,9370,1
2018,9380,4
2018,9390,29
2018,9470,19
2018,9480,7
2018,9490,2
2018,9570,3
2018,9590,1
2019,0170,11
2019,0180,2
2019,0190,1
2019,0270,1
2019,0290,5
2019,0370,1
2019,0380,1
2019,0480,1
2019,0490,1
2019,0570,6
2019,0580,3
2019,0680,1
